round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,first_neuron
100,0.5122086112891441,0.7489177584648132,0.5233202015515417,0.75130206,relu,10,12
100,0.469616428598181,0.761904776096344,0.517808673515295,0.7578125,relu,10,24
100,0.6837795792203961,0.6623376607894897,0.5425443081185222,0.7447917,relu,10,48
100,0.535205509239461,0.7489177584648132,0.5572941784436504,0.7395833,relu,20,12
100,0.5966719040622959,0.7532467246055603,0.5723148443115255,0.72265625,relu,20,24
100,0.4888775111276866,0.7489177584648132,0.5429641221805165,0.75911456,relu,20,48
100,0.5378293402783283,0.7229437232017517,0.5599039399530739,0.71744794,relu,30,12
100,0.5037157551034704,0.7748917937278748,0.541754691163078,0.73046875,relu,30,24
100,0.47779087044975976,0.7662337422370911,0.49540349491871893,0.76953125,relu,30,48
100,0.46864318654134673,0.7922077775001526,0.4881764631718397,0.76953125,elu,10,12
100,0.4539835469160245,0.7835497856140137,0.4888769615984832,0.7708333,elu,10,24
100,0.3744442453245064,0.826839804649353,0.4512521924140553,0.7942708,elu,10,48
100,0.5183029084494619,0.7575757503509521,0.5210560710790256,0.7421875,elu,20,12
100,0.45230131980144617,0.7878788113594055,0.49948620912618935,0.75911456,elu,20,24
100,0.4603924312632837,0.7835497856140137,0.48113026345769566,0.7734375,elu,20,48
100,0.4716089244012709,0.7705627679824829,0.5366086862049997,0.74348956,elu,30,12
100,0.5176373967876682,0.7402597665786743,0.5371208502911031,0.74088544,elu,30,24
100,0.4076275210101883,0.7922077775001526,0.4356822215486318,0.7786458,elu,30,48
