round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,first_neuron
100,0.5743261601501729,0.6969696879386902,0.5693657799468687,0.7135417,relu,10,12
100,0.5271623356517775,0.761904776096344,0.5126106560928747,0.7552083,relu,10,24
100,0.588272833978975,0.6839826703071594,0.4873667712478588,0.76432294,relu,10,48
100,0.5685400361622567,0.7229437232017517,0.5305767497047782,0.75130206,relu,20,12
100,0.5634984306958847,0.7489177584648132,0.5252749277278781,0.75130206,relu,20,24
100,0.5559064761384741,0.7489177584648132,0.5041364010733863,0.75911456,relu,20,48
100,0.5939433481786158,0.7056276798248291,0.5562949669547379,0.7317708,relu,30,12
100,0.5583700429309498,0.7445887327194214,0.5192598244175315,0.75390625,relu,30,24
100,0.5241351893969944,0.7316017150878906,0.5124364765360951,0.74609375,relu,30,48
100,0.49622828529510665,0.7662337422370911,0.4943165694518636,0.78515625,elu,10,12
100,0.45015300507153266,0.8008658289909363,0.47811847653550404,0.7786458,elu,10,24
100,0.5746146519204754,0.7142857313156128,0.4561795241897926,0.7916667,elu,10,48
100,0.5118696369650044,0.7489177584648132,0.5128211442691585,0.7552083,elu,20,12
100,0.6163867619130519,0.709956705570221,0.4881477376135687,0.75130206,elu,20,24
100,0.5775512624612619,0.7402597665786743,0.5094629481124381,0.7552083,elu,20,48
100,0.5444684578226758,0.761904776096344,0.5407021855935454,0.7369792,elu,30,12
100,0.45489091222936456,0.8008658289909363,0.4758961845654994,0.7708333,elu,30,24
100,0.4697555179719801,0.7792207598686218,0.4606554601341486,0.78255206,elu,30,48
